Protein_DTO_ID,Gene Symbol,UniProt_ID,Canonical_Smiles,pKd_Median
DTO_03100009,ACVR1B,P36896,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100020,AKT2,P31751,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100020,AKT2,P31751,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,5
DTO_03100027,ANKK1,Q8NFD2,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100037,AURKC,Q9UQB9,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100042,BMP2K,Q9NSY1,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100044,BMPR1A,P36894,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100049,BRSK2,Q8IWQ3,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100049,BRSK2,Q8IWQ3,NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3cccc(O)c3)cc1,5
DTO_03100214,CAMK1,Q14012,CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,5
DTO_03100222,CAMK4,Q16566,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100061,CDK15,Q96Q40,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100068,CDK2,P24941,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100089,CLK4,Q9HAZ1,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100090,CSF1R,P07333,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100207,CSNK1A1L,Q8N752,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100209,CSNK1D,P48730,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100209,CSNK1D,P48730,Cc1ccc2c(c3ccnc(Nc4ccc5OCCOc5c4)n3)c(nn2n1)c6ccc(cc6)C(F)(F)F,5
DTO_03100211,CSNK1G1,Q9HCP0,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100099,DAPK2,Q9UIK4,CC(C)c1ccc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c2c1,5
DTO_03100099,DAPK2,Q9UIK4,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100100,DAPK3,O43293,CC(C)c1ccc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c2c1,5
DTO_03100100,DAPK3,O43293,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100111,DMPK,Q09013,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100114,DYRK1B,Q9Y463,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100115,DYRK2,Q92630,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100124,EGFR,P00533,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100124,EGFR,P00533,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100118,EIF2AK1,Q9BQI3,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1,5
DTO_03100126,EPHA2,P29317,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100126,EPHA2,P29317,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100126,EPHA2,P29317,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100128,EPHA4,P54764,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100130,EPHA6,Q9UF33,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100136,EPHB3,P54753,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100142,ERN1,O75460,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100150,FGFR2,P21802,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100150,FGFR2,P21802,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100150,FGFR2,P21802,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100152,FGFR4,P22455,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100152,FGFR4,P22455,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100559,FLT1,P17948,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100154,FLT3,P36888,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100154,FLT3,P36888,COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N,5
DTO_03100154,FLT3,P36888,Cc1cc(cc(C)c1C=Cc2cncc(c2)c3nn[nH]n3)c4ccccn4,5
DTO_03100155,FRK,P42685,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100156,FYN,P06241,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100163,GRK7,Q8WTQ7,Cc1ccc2c(c3ccnc(Nc4ccc5OCCOc5c4)n3)c(nn2n1)c6ccc(cc6)C(F)(F)F,5
DTO_03100171,HCK,P08631,CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(nn2)c3cncc(OC)c3,5
DTO_03100179,ICK,Q9UPZ9,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,5
DTO_03100196,JAK1,P23458,COc1ccc(cc1)c2coc3ncnc(N)c23,5
DTO_03100196,JAK1,P23458,NS(=O)(=O)c1ccc(cc1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100264,LATS1,O95835,CCS(=O)(=O)c1ccc(OC)c(Nc2oc(cn2)c3ccccc3Cl)c1,5
DTO_03100264,LATS1,O95835,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100264,LATS1,O95835,Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CCC4,5
DTO_03100264,LATS1,O95835,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100266,LCK,P06239,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100274,LTK,P29376,Fc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,5
DTO_03100274,LTK,P29376,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100275,LYN,P07948,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100298,MAK,P20794,CCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100339,MAP2K6,P52564,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100281,MAP3K15,Q6ZN16,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100326,MAPK14,Q16539,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,5
DTO_03100326,MAPK14,Q16539,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100302,MARK1,Q9P0L2,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100302,MARK1,Q9P0L2,NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3cccc(O)c3)cc1,5
DTO_03100305,MARK4,Q96L34,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100310,MATK,P42679,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100311,MELK,Q14680,COc1ccc(cc1C(=O)N)c2ccncc2,5
DTO_03100311,MELK,Q14680,COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5
DTO_03100311,MELK,Q14680,CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100311,MELK,Q14680,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,5
DTO_03100312,MERTK,Q12866,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100314,MINK1,Q8N4C8,Fc1ccc(cc1)c2ncn(CCCN3CCOCC3)c2c4ccncc4,5
DTO_03100458,MST1R,Q04912,CCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100349,MYLK4,Q86YV6,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100351,MYO3A,Q8NEV4,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,5
DTO_03100355,NEK1,Q96PY6,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100357,NEK3,P51956,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100359,NEK5,Q6P3R8,CCn1c(nc2ccncc12)c3nonc3N,5
DTO_03100361,NEK7,Q8TDX7,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100363,NEK9,Q8TD19,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100386,PAK3,O75914,Fc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,5
DTO_03100386,PAK3,O75914,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100388,PAK6,Q9NQU5,COC(=O)Nc1nc2CCc3c(nn(c4ccc(cc4)C5(CC5)N(C)C)c3c2s1)c6cccnc6,5
DTO_03100407,PHKG2,P15735,CC(C)c1ccc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c2c1,5
DTO_03100407,PHKG2,P15735,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100379,PIK3C2B,O00750,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100422,PIK3CA,P42336,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100424,PIK3CD,O00329,COc1ccc(cc1)c2nn3ncccc3c2c4ccnc(Nc5cccc(c5)C(F)(F)F)n4,5
DTO_03100424,PIK3CD,O00329,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,5
DTO_03100425,PIK3CG,P48736,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100417,PIM1,P11309,COC(=O)Nc1nc2CCc3c(nn(c4ccc(cc4)C5(CC5)N(C)C)c3c2s1)c6cccnc6,5
DTO_03100416,PIP5K1C,O60331,N#Cc1cccc(Nc2oc(cn2)c3ccccc3)c1,5
DTO_03100416,PIP5K1C,O60331,COC(=O)c1ccc(cc1)c2cc(nc3sc(C(=O)N)c(N)c23)N4CCC(N)CC4,5
DTO_03100004,PRKAA1,Q13131,CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(nn2)c3cncc(OC)c3,5
DTO_03100245,PRKCH,P24723,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100440,PRPF4B,Q13523,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100145,PTK2B,Q14289,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100442,PTK6,Q13882,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100445,RAF1,P04049,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03390992,RIOK1,Q9BRS2,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100448,RIOK2,Q9BVS4,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100451,RIPK2,O43353,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100451,RIPK2,O43353,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100251,RPS6KA1,Q15418,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100251,RPS6KA1,Q15418,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100255,RPS6KA5,O75582,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100466,SgK110,P0C264,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100473,SGK3,Q96BR1,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100478,SLK,Q9H2G2,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100480,SNRK,Q9NRH2,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1,5
DTO_03100486,SRPK1,Q96SB4,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100487,SRPK2,P78362,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100488,SRPK3,Q9UPE1,COc1ccc(cc1C(=O)N)c2ccncc2,5
DTO_03100488,SRPK3,Q9UPE1,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100495,STK10,O94804,CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(nn2)c3cncc(OC)c3,5
DTO_03100506,STK3,Q13188,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,5
DTO_03100506,STK3,Q13188,N(c1ccc(Oc2ccccc2)cc1)c3oc(cn3)c4ccccc4,5
DTO_03100491,STK32A,Q8WU08,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1,5
DTO_03100493,STK32C,Q86UX6,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100493,STK32C,Q86UX6,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100501,STK33,Q9BYT3,COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5
DTO_03100504,STK38,Q15208,Fc1ccc(cc1)c2ncn(CCCN3CCOCC3)c2c4ccncc4,5
DTO_03100508,STK4,Q13043,Fc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,5
DTO_03100508,STK4,Q13043,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100262,SYK,P43405,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100523,TGFBR1,P36897,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100530,TNNI3K,Q59H18,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100530,TNNI3K,Q59H18,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100540,TSSK1B,Q9BXA7,COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N,5
DTO_03100540,TSSK1B,Q9BXA7,NC(=O)c1cc(cc(c1N)c2ccncc2)c3ccc(F)cc3,5
DTO_03100540,TSSK1B,Q9BXA7,Cc1cc(cc(C)c1C=Cc2cncc(c2)c3nn[nH]n3)c4ccccn4,5
DTO_03100540,TSSK1B,Q9BXA7,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100550,TYRO3,Q06418,NS(=O)(=O)c1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100563,VRK2,Q86Y07,COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N,5
DTO_03100566,WEE2,P0C1S8,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100099,DAPK2,Q9UIK4,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,5
DTO_03100119,EIF2AK2,P19525,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,5
DTO_03100326,MAPK14,Q16539,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,5
DTO_03100015,CABC1,Q8NI60,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100046,BMX,P51813,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100151,FGFR3,P22607,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100339,MAP2K6,P52564,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100498,STK24,Q9Y6E0,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100355,NEK1,Q96PY6,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100478,SLK,Q9H2G2,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100499,STK25,O00506,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5
DTO_03100299,MAPKAPK2,P49137,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(Br)cnn4c3N)c1,5
DTO_03100286,MAP3K4,Q9Y6R4,Fc1cccc2c(NC(=O)Nc3cnccn3)ccnc12,5
DTO_03100345,MTOR,P42345,CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(N=C(c5ccccn5)c4n3)c6c(Cl)cncc6Cl)cc2,5
DTO_03100015,CABC1,Q8NI60,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100210,CSNK1E,P49674,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100490,STK17B,O94768,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100295,MAP4K3,Q8IVH8,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100352,MYO3B,Q8WXR4,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100061,CDK15,Q96Q40,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100453,RIPK4,P57078,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100252,RPS6KA2,Q15349,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100484,SRC,P12931,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5
DTO_03100569,WNK3,Q9BYP7,CC(C(=O)NC1CCN(C1)c2ccnc(Nc3ccc(F)cc3)n2)c4ccc(Cl)cc4,5
DTO_03100035,AURKA,O14965,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100037,AURKC,Q9UQB9,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100293,MAP4K1,Q92918,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100190,IRAK1,P51617,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100192,IRAK3,Q9Y616,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100359,NEK5,Q6P3R8,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100413,PI4KB,Q9UBF8,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03390992,RIOK1,Q9BRS2,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03390991,RIOK3,O14730,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
DTO_03100557,ULK3,Q6PHR2,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5
